State,Program,Eligible,10-year NPV,9/5 model math summary,9/5 internal notes,"Model math summary, late August",Late August internal notes and next steps,10/6/2020 next steps,10/12/2020 Notes,Benefit years,Carryforward years,Eligible taxes to abate,Discretionary level (H-M-L),Discretionary notes,Notes,Program description blurb for ppt,Incentives type,Incentives category,State-program
Alabama,Jobs Act Incentives: Jobs,No,$0,"Top-line: If Yes, cash rebate benefit (sum different layers) * payroll for 10 years

Requirements
- Min jobs and capex based on category (e.g., geography or sector)

Technology company: 
- Must locate corporate HQ in AL
- Must derive at least 75% of sales from specific NAICS codes (proxy = Information sector; and assume 75% sales threshold met if sector is selected)
- Two other categories assumed yes: top 3 execs live in AL and 75% of employees live in AL",*** Need to fix / align expected payroll for project with salaries/wages line in P&L,"Top-line: If Yes, cash rebate benefits (X% of payroll) * FTEs * average wage","- Integrate carryforward provisions
- How to handle previous year gross payroll? 
- Integrate targeted or jumpstart coounty
- Integrate tech company bonus",,,Up to 10 years,Cash rebate,Cash rebate of up to 3% annually of the previous year’s gross payroll (not including fringe benefits,Medium,Up to language but criteria driven benefits,,Cash rebate of up to 3% annually of the previous year’s gross payroll (not including fringe benefits) for eligible employee who are Alabama residents for up to 10 year. Additional enhancements available. (Alabama Department of Revenue),5. Credit: Refundable,Job tax credits,Alabama_Jobs Act Incentives: Jobs
Alabama,Jobs Act Incentives: Investment,No,$0,"Top-line: If Yes (auto yes), benefit of 1.5% * qualifying capex (full capex) for 10 years. If locating in Targeted or Jumpstart county, 15 year benefits. 

Note: if project is a technology compnay and receiving Jobs Credit, ineligible for investment credit. Qualifying project is minimum $2M capex project",* New source. file:///C:/Users/sbrazier/Downloads/Jobs_Act_summary.pdf,"Top-line: If Yes, benefit (3% of capex) * construction share of capex (to update, 65%) * capex for 15 years
QUESTION: if I have average salary from the project, why do I adjust the salaries/wages line in the P&L statements? Should I just use payroll for ""salaries and wages"" then adjust the ""other line items"" to account for both payroll and R&D from different sources? Same end outcome because below-the-line expenses total stays the same","- Check language on qualified capital investment and percentages
- Integrate targeted or jumpstart county
- Check tech company bonsus
- Check sector requirements",,,Up to 10 years,5 years,"The credit can be taken against the Alabama income tax liability, financial institution excise tax liability, and/or utility taxes paid. The credit has a five-year carry forward. ",Medium,Up to language but criteria driven benefits,,"A discretionary tax credit of up to 1.5% of qualified capital investment for a qualified project for a period of up to 10 years. For qualifying investments in a targeted or a jumpstart county, the incentive period is available for up to 15 years. (Alabama Department of Revenue)",4. Credit: Carryforward,Job tax credits,Alabama_Jobs Act Incentives: Investment
Alabama,Sales tax exemptions,No,$0,"Top-line: If Yes and non-data center, sales tax rate * building materials and M&E only during construction. If Yes and data center, sales tax rate for building in year 0 and M&E year 0 onwards

Requirements
- If data center, capex levels determines years of benefit (starting with 10 years)

Notes:
- State of AL administered over 200 different city and county sales taxes, and that's not the full list 
- The state's farm and machinery equipment taxed at 1.5%; the full state and local sales tax rate averages ~8%. 
- The model estimates the benefit at the main P&L's sales tax rate for AL (8-10%) not the machinery equipment sales tax rate, resulting in a higher estimated benefit",,Top-line: [TAX EXEMPTION WORK],"- Confirm tax rates. 4% general rate and 1.5% MME rate that can be abated. So benefit should be on the 1.5% rate not 4%. I think I did it correctly (construction 4%, MME 1.5%)
- Check sector requirements",,* Check differential rates,Within year,n/a - exemption,,Medium,Please note that the local granting authority must grant the abatement for the qualifying project before an abatement is effective.,,"Section 40-9B, et seq Code of Alabama 1975 provides that qualifying industries may receive an abatement on all state and the local non-educational portion of construction related transaction (sales and use) taxes associated with constructing and equipping a project. For state purposes, the general state sales tax rate of 4% and the state manufacturing machinery and equipment tax rate of 1.5% can be abated for qualifying industries. (Alabama Department of Revenue)",3. Exemption,Tax exemptions,Alabama_Sales tax exemptions
Alabama,Property tax abatements,Yes,-,"Top-line: If Yes, 100% abatement on property taxes * property tax bill

Note: 
- Abatement must be granted by local authority
- Technically, only non-educational state and local portions of property tax
- Qualifying sectors list is in separate tab

Assumptions:
- Assumed 100% of property tax can be abated though technically, only non-educational state and local portions of property tax
- ","* Look into separating non-education portion of property tax

* Update qualifying sector","Top-line: If Yes, 100% abatement on property taxes * property taxes

Personal property taxes calculated as follows: Template P&L statement's total real and personal property taxable base","- Property tax abatement is on non-school portion
- Why did I have a ""Yes"" in eligbility",,* I did section 40-9b. Should I do section 40-9g,Within year for 10 years,n/a - exemption,,Medium,Local granting authority,,"Section 40-9B, et seq Code of Alabama 1975 provides for the abatement of certain property taxes to qualifying industries. All of the non-educational state and local portions of property tax can be abated for projects if the proper procedures are followed. (Alabama Department of Revenue)",3. Exemption,Tax exemptions,Alabama_Property tax abatements
Alabama,Enterprise Zone credit/exemption,No,$0,"Top-line: If Yes, benefits from two sections of the code. 

Section 11: sales and use tax rate * buildings in year 0; income tax credit abatement for 5 years; and did not integrate business privilege tax credit

Section 5. Max $2500 benefit per employee sourced through capital investment route (requires at least 5 FTEs created; capex benefit based on size). Took max of the three benefits options (ignored hard to employ option, so other two are tax credit if min 5 jobs created or $1K for training)","* Source. https://adeca.alabama.gov/Divisions/ced/cdp/Pages/Enterprise-Zone.aspx

* Guideliens. https://adeca.alabama.gov/Divisions/ced/cdp/Enterprise/Alabama%20Enterprise%20Zone%20Procedures%20Manual.pdf","Top-line: If Yes, three benefits. Sales and use tax exemption, income tax credit, and business privilege tax. 
BenefiT, sales and use tax: [TAX EXEMPTION WORK]
Benefit, income tax credit: If Yes, CIT amount for 5 years
Benefit, business privilege tax: TBD",- Integrate county details,,,1-5 years depending on element,,Income or priviliege tax credit,Medium,Requires application and local endorsement,,"The Alabama Enterprise Zone Act, enacted in 1987, provides certain tax incentives to corporations, partnerships and proprietorships that locate or expand within designated Enterprise Zones. In addition to state-level tax incentives, businesses may also receive local tax and non-tax incentives for locating or expanding within a designated Enterprise Zone. (Alabama Department of Economic and Community Affairs)",3. Exemption,Geographic credits,Alabama_Enterprise Zone credit/exemption
Arizona,Quality Jobs Tax Credit,No,$0,"Top-line: If Yes, $3K per FTE for 3 years. 

Eligibility: 
- Table with three components (min capex, new jobs, minimum wages) that depends on urban-rural and capex. Must meet all three requirements",,"Top-line: If Yes, award amount based on urban/rural and other critier * FTEs for 3 years","- Integrate Urban/Rural, county details",,,3 years,"If the allowable tax credit exceeds the income or premium tax liability, any unused amount may be carried forward for up to ﬁve consecutive taxable years.",income or premium tax credits ,Medium,Cap of 10K jobs claimed for total program in each year,,Quality Jobs provides tax credits to employers creating a minimum number of net new quality jobs and making a minimum capital investment in Arizona. (AZ Department of Commerce),4. Credit: Carryforward,Job tax credits,Arizona_Quality Jobs Tax Credit
Arizona,Qualified Facility Tax Credit,No,$0,"Top-line: If Yes, lesser of three benefits for assumed 1 year. 
Benefit 1: 10% of qualified investment (land, buildings, M&E, fixtures)
Benefit 2: per qualified job of $20K
Benefit 3: per project $30M

Requirements: 
- Minimum qualified capex of $250K
- Minimum wages of 100% county (if rural) or 125% other 
- At least 65% of health costs covered by employer
- Sector is manufacturing and function is manufacturing/R&D/HQ",,"Top-line: If Yes, lesser of three benefits for assumed 1 year. 
Benefit 1: 10% of qualified investment [REVISIT DEFINITION OF QUALIFIED]
Benefit 2: per qualified job of $20K
Benefit 3: per project $30M","- Confirm 1 year award window
- Integrate county urban/rural details",,,1 year,Refundable tax credit,"The Arizona Commerce Authority (ACA) may authorize up to $70 million per calendar year in tax credits to qualiﬁed companies beginning January 2013 through December 2022. The tax credits will be authorized on a ﬁrst-come, ﬁrst-served basis, according to a priority placement number assigned by the ACA at the time of Pre-Approval.",Medium,"Program caps and first-come, first served basis",,"The Research and Development (R&D) incentive provides an Arizona income tax credit for increased research and development activities conducted in this state, including research conducted at a state university and funded by the company. (AZ Department of Commerce)",5. Credit: Refundable,Investment tax credits,Arizona_Qualified Facility Tax Credit
Arizona,Research and Development Nonrefundable Income Tax Credit,Yes,$0,"Top-line: If Yes, excess of R&D spending in given year over federal base amount from template P&L * 24% benefit (if R&D spend is under $2.5M; if over, $600K + 15% on excess). Assumed yes

Note: Assumed same rate and approach as federal / template process for first three years (i., 6% on R&D spend)","* Source. https://www.azleg.gov/viewdocument/?docName=http://www.azleg.gov/ars/43/01168.htm

https://www.kbkg.com/research-tax-credit/arizona-rd-tax-credit",Top-line: [TAX EXEMPTION WORK],"- Check ""Yes"" requirements
- Same R&D question… how to handle new operations
- Something about changes underway",,"? Why not integrated? Firm size I believe: Starting in 2010, a qualifying company may be eligible to claim a partial refund of its current year excess R&D credit. A company that is otherwise qualiﬁed for the R&D tax credit who employs less than 150 full-time employees can apply to the ACA for a partial refund of up to 75% of the excess credit amount",Within year,If nonrefundable; 15 years,R&D taxes,Low,Criteria-driven,,"The Research and Development (R&D) incentive provides an Arizona income tax credit for increased research and development activities conducted in this state, including research conducted at a state university and funded by the company. (AZ Department of Commerce)",4. Credit: Carryforward,R&D tax credits,Arizona_Research and Development Nonrefundable Income Tax Credit
Arizona,Research and Development Refundable Tax Credit,Not integrated,$0,Not integrated. For basic research with university,,Top-line: [TAX EXEMPTION WORK],No action,,,not integrated,not integrated,not integrated,not integrated,not integrated,not integrated,not integrated,n/a,not integrated,Arizona_Research and Development Refundable Tax Credit
Arizona,Arizona Competes Fund,No,$0,"Top-line: If Yes, median award from Incentives Monitor of $3,909 per FTE * FTEs

Requirements: 
- Meets county wages
- Requires 65% of health insurance covered by employer
- Sector is basic industry. 

Sectors:
- Basic industry based on sectors or activities. I left general traded sector (""producing goods or services that derive at least 65% of revenue from out-of-state sales"") as a ""No""","* Eventually, add in Arizona Competitiveness Package (depreciation benefits)

* Code language. https://www.azleg.gov/ars/41/01545-02.htm

* Update sector language. Complete: https://www.azleg.gov/ars/41/01545.htm

* Interesting language in the Code. Interesting, requires third-party analysis that ""estimated income, property, and transaction privilige tax and govt fee revenues in this state will exceed state incentives""","Top-line: Median award amount from Incentives Amount * FTEs for assumed 1 year
Note: Very limited eligibility information","- Add in county details for wages
- Check 1 year award window
- Do regression / any additional information available? ",,,"Within year, grant",n/a - grant,,Highly discretionary,Deal closing fund,"Deal closing grant requiring third-party validation:  Demonstrate by analysis by an independent third party that estimated income, property and transaction privilege tax and government fee revenues in this state will exceed state incentives","Grants from the Arizona Competes Fund may be awarded for (i) attracting, expanding or retaining Arizona basic enterprises (A.R.S. § 41-1545.02(A)(1)) and (ii) supporting and advancing programs and projects for microenterprises, rural businesses, small businesses and business development that enhance economic development. (AZ Department of Commerce)",1. Grant,Major projects grants,Arizona_Arizona Competes Fund
Arizona,Sales Tax Exemptions for manufacturing,No,$0,"Top-line: If Yes, sales tax rate * M&E purchases one-time and ongoing for manufacturers and R&D

Requirements: 
- ",,Top-line: [TAX EXEMPTION WORK],- Update sales tax rates,,,within year,n/a - exemptions,,Low,Criteria-drven,,"Sales and use tax exemption for machinery or equipment used in manufacturing or research and development, among others. (General description adapted from AZ Commerce Authority)",3. Exemption,Tax exemptions,Arizona_Sales Tax Exemptions for manufacturing
Arizona,Computer Data Center Tax Exemption,No,$0,"Top-line: If Yes, sum of TPT credit and sales and use tax on M&E. 
- TPT credit. If Yes, equal the TPT liability. 
- Sales and use tax. If Yes, sales tax rate * M&E purchases (ongoing and one-time)","* Additional source confirming sales and use tax on M&E. https://h5datacenters.com/h5-data-phoenix-tpt.html

* Note on 5.6% gross receipts/TPT tax. https://www.avalara.com/taxrates/en/state-rates/arizona/arizona-sales-tax-guide.html
",Top-line: [TAX EXEMPTION WORK],- Update sales tax rates,,,"Wtihin year, up to 10 years",n/a - exemptions,,Low,application but criteria driven,,"The objective of the Program is to encourage computer data center (CDC) operation and expansion in Arizona. The Program seeks to 
 accomplish this objective by providing Transaction 
 Privilege Tax (TPT) and Use Tax exemptions at the state, county and local levels, on qualifying purchases of CDC equipment. (AZ Commerce Authority)",3. Exemption,Tax exemptions,Arizona_Computer Data Center Tax Exemption
Arizona,Arizona Job Training Program,No,$0,"Top-line: If Yes, average award amount from Good Jobs First report in 2016 * FTEs in year 1","* New source. https://www.azcommerce.com/media/1542854/job-training-rules-4-6-18.pdf

* Note, approach using regulation much higher. Partly because the average GJF approach aggregates rural wth other counties","Top-line: If Yes, average award amount from Good Jobs First report in 2016 * FTEs",- Integrate county details and wages,,,one year ,n/a - grant,,Medium,application process; payout may vary greatly,,"The Arizona Job Training Program offers grants to assist eligible Arizona employers in maintaining or exceeding
employee training expenditures. By supporting the design and delivery of customized
employee training programs that increase the skill and wage levels of employee-trainees, the
Program stimulates economic growth in Arizona. (AZ program guidelines)",1. Grant,Job training grant or credit,Arizona_Arizona Job Training Program
Arkansas,Advantage Arkansas (Income Tax Credit),Yes,"$69,739","Top-line: If Yes, benefit based on tier (1%-4%) * total payroll for 5 years. 
- Benefits Tiers 1-4: 1%, 2%, 3%, 4%

Requirements: 
- Must meet lowest county average wages in AR
- Must meet tier min payroll requirements
- Max 50% share of corporate income liability in any given tax year",* Compare all incentives against incentive analysis examples in pdf,"Top-line: If Yes, benefit based on tier (1%-4%) * total payroll for 5 years. ","- Integrate geographic tiers
- Integrate carryforward math
- Integrate county wages",,,5 years,9 years,"The income tax credit earned cannot be used to offset more than fifty percent (50%) of a business’s income tax liability in any one (1) tax year. Any unused credits can be carried forward for nine (9) years beyond the year in which they were earned or until exhausted, whichever occurs first.",Low,"Criteria-basaed, file form",,"The Advantage Arkansas program provides an Arkansas income tax credit, accruable for up to sixty (60) months, based upon a percentage of the annual payroll paid to new full-time permanent employees hired as a result of an approved project. (Arkansas Economic Development Commission)",4. Credit: Carryforward,Job tax credits,Arkansas_Advantage Arkansas (Income Tax Credit)
Arkansas,ArkPlus (income tax credit),No,$0,"Top-line: If Yes, benefit (10%) of qualified capex (land, buildings, M&E)

Details: Must meet tier level requirements (capex and payroll minimums)","* Is it ArkPlus and or Targeted ArkPlus? Right now, both are applied, doubling incentive","Top-line: If Yes, benefit (10%) * total payroll","- Integrate carryforward against income tax liability
'- Integrate county tiers",,* Strip out carryforward provisions in the calcs,Assumed 1 year,9 years: Income tax credits may be used to offset fifty percent (50%) of a business’s income tax liability in the tax year the credit is earned.  Any unused credits may be carried forward for nine (9) years beyond the year in which the credit was first earned.,,High,Discretion of executive director,,"The ArkPlus program, offered at the discretion of the AEDC Executive Director, provides a ten percent (10%) income tax credit based upon the total investment of an eligible business in a new location or expansion project. (Arkansas Economic Development Commission)",4. Credit: Carryforward,Job tax credits,Arkansas_ArkPlus (income tax credit)
Arkansas,Targeted ArkPlus,No,$0,"Top-line: If Yes, benefit is calculated in separate table based on capex and staircase percentages for income tax credit; also an option ofr sales and use tax refund. So, I did max of either option (income tax credit likely)

Details
- Income tax credit. See table calculations. Max is 50% of corporate tax liability in a given year. To proxy that, I divided award by Year 1 sales to give likely number of years until carryover math completed. Then, I ran the benefits out [NOTE, i SHOULD ONLY DO THIS IF BENEFIT IS GREATER THAN YEAR ONE LIABILITY]
- CIT liability offset. Depends on multiple of wages. Ranges from 50-100% CIT liability

Requirements
- Min capex ($250K), min payroll ($250K), min average wages (either state or local, * 175%)","?  Where is the ""technology based"" piece?","Top-line: If Yes, capex benefit table for 1 year","- Add in county and state wages
- Integrate carryforward",,* Strip out carryforward provisions in the calcs. Where does the technology part come in from the title?,Assumed 1 year,9 years: Income tax credits may be used to offset fifty percent (50%) of a business’s income tax liability in the tax year the credit is earned.  Any unused credits may be carried forward for nine (9) years beyond the year in which the credit was first earned.,,High,Discretion of executive director,,"The ArkPlus program, offered at the discretion of the AEDC Executive Director, provides a ten percent (10%) income tax credit based upon the total investment of an eligible business in a new location or expansion project. Furthermore, At the discretion of the Executive Director, a targeted business may earn an income tax credit or a sales and use tax credit based upon new investment. (Arkansas Economic Development Commission)",4. Credit: Carryforward,Job tax credits,Arkansas_Targeted ArkPlus
Arkansas,Research and Development Tax Credit,Yes,$0,"Top-line: If Yes, year1-3 is 20% benefit * R&D spend; years 4+, 20% benefit * excess over base year (base year is simply the prior year spend)",,Top-line: [TAX EXEMPTION WORK],- Check code and math. I used the spending amount * 20% benefit in first 3 years before going to the difference,,* Integrate 5 years restriction,5 years,9 years,"The income tax credit earned for in-house research and development may be used to offset one hundred percent (100%) of the eligible business’s state income tax liability.  Any unused credit may be carried forward for a period not to exceed nine (9) years. 
 ",,"Unless otherwise specified, the research and development application and project plan shall be the basis for the Commission’s decision to approve tax credit treatment for research and development expenditure",,"The different research and development tax credits are intended to provide incentives for university-based research, in-house research of several kinds, and research and development in start-up, technology-based enterprises. (Arkansas Economic Development Commission)",4. Credit: Carryforward,R&D tax credits,Arkansas_Research and Development Tax Credit
Arkansas,Tax Back,Yes,"$823,804","Top-line: If Yes, sales and tax rate * buildings and M&E purchases (one-time, really within 4 years)

Requirements:
- Must meet minimum capex ($100K), receive local govt endorsement, and qualify for either Advantage Arkansas or Create Rebates (i.e., job creation programs)",,"Top-line: several benefits [TO BE UPDATED WITH TAX WORK]
Benefit 1 (payroll tax credit). 
Benefit 2 (R&D tax credit)
Benefit 3 (sales tax refund)","- Check sector requriements
- Integrate county tier levels
- Check investmetn minimums
- Integrate actual rates
- Integrate county wage",,,within year,n/a - sales and tax refund,,Medium,Application plus local resolution,,"The Tax Back program provides sales and use tax refunds on the purchase of building materials, machinery, and equipment to qualifying businesses that create new jobs as a result of construction, expansion, or facility modernization projects in Arkansas.(Arkansas Economic Development Commission)",3. Exemption,Tax exemptions,Arkansas_Tax Back
Arkansas,Targeted business incentives,No,$0,"Top-line: If Yes, sum three benefits (sales and use tax, payroll tax, R&D credits). Assumed No based on less than 5 years old requirement
. Targeted Tax Back program (sales and use tax refund). Sales tax rate * M&E one-time and ongoing 
. Payroll tax credit. 10% benefit * payroll but cap of $100K per year and then can rollover. I did a proxy calculation for this... Benefit / $100K cap = years to spread benefit over [PROXY carryforward within overall incentive program is different than the carryforward math done for each overall program]
. R&D credit of 33% * R&D spend for first 5 years

Requirements
- Must have been in operation for five years or less
- Min wages, lesser of county or state 
- Min equity investment of $250K
- Min annual payroll between $100K-$1M, if over $1M, ineligible",,,,,* Check. Sales and use tax refund should be included. Fix casrryover,Within year,Can sell certan credits (payroll and R&D credits): A unique feature of this incentive is the ability of the business that earns the targeted business income tax credit to sell the credit,"This incentive program grants a refund of state and local sales and use taxes paid on the purchases of the material used in the construction of a building or buildings or any addition, modernization or improvement to a new or expanding eligible business.  A sales and use tax refund is also allowed for the purchases of taxable machinery or equipment associated with the building or proje",High,Discretion of executive director and local resolutoin,,"Businesses that qualify as “targeted businesses” may be offered a variety of special incentives designed to help new, knowledge-based businesses in their early years. (Arkansas Economic Development Commission)",5. Credit: Refundable,Job tax credits,Arkansas_Targeted business incentives
Arkansas,Create Rebate (Cash Rebate),No,$0,"Top-line: If Yes, benefit is share of payroll based on Tier * FTEs * average salary for 1-10 years (if not 10 years, I assumed 3 years from the illustrated calculations)

Details:
- Tier benefits: 3.9%, 4.25%, 4.5%, 5%. Note, these can go up to 5% max if considering location in another state; derives at least 75% of sales from out of state, wages 100%+ of the county
- Additional 5% bonus opportunity and full 10 years of benefits if meet county wages and min payroll of $250K",,NEED TO UPDATE WITH AN AWARD FIGURE,"- Integrate county teir and check years
'- Integrate county wages",,,Up to 10 years,n/a - payroll rebate,,Medium,Submit form but need to follow the math and get approval form Executive Director of AEDC,,"The Create Rebate program requires businesses to create a minimum payroll, comprised of new full-time permanent employees, of two million dollars ($2,000,000) or greater within twentyfour (24) months of signing a financial incentive agreement with the Arkansas Economic Development Commission (Commission).",5. Credit: Refundable,Job tax credits,Arkansas_Create Rebate (Cash Rebate)
Arkansas,Governor’s Quick Action Closing Fund,Yes,"$325,733","Top-line: If Yes, Incentives Monitor median grant ($8,333 per job) * FTEs for 1 year. Assumed Yes

Note: Very limited eligibility information","* Source. https://law.justia.com/codes/arkansas/2016/title-19/chapter-5/subchapter-12/section-19-5-1231

* https://uca.edu/acre/government-accountability-5-fixes-for-arkansass-quick-action-closing-fund/","Top-line: If Yes, Incentives Monitor median grant * FTEs for 1 year
Note: Very limited eligibility information","- Confirm 1 year grant. In general, do regressions instead of median/averages (way later)",,,1 year,n/a grant,,High,It’s largely up to the Governor of Arkansas to approve these cash grant,,The Quick Action Closing Fund (QACF) is a targeted economic development incentive program the state of Arkansas uses to try to increase economic activity. This program allows the state government to give cash grants to attract or retain businesses. It’s largely up to the Governor of Arkansas to approve these cash grant. (QACF accountability report),1. Grant,Major projects grants,Arkansas_Governor’s Quick Action Closing Fund
California,California Competes Tax Credit (“Cal Competes”),No,$0,"Top-line: Median incentives award from Incentives Award of $15K per job (pretty high) * FTEs for assumed 1 year. Manual ""No"" given lack of guidance. 

Note: Program caps of $180M. 12 evaluation factors but no guidance on minimums/requirements",,"Top-line: Median incentives award from Incentives Award of $15K (pretty high) * FTEs for assumed 1 year
Note: Program caps of $180M. What are the median notes? Include 12 factors","- Check the ""12 factors"" in the source file. Is that why ""Yes"" and 1 years is red?",,,1 year,Up to 5 years,"The California Competes Tax Credit only applies to income tax owed to the Franchise Tax Board.  The credit is non-refundable.  If the credit allowed exceeds the tax due, the excess may be carried over to reduce the tax in the following year, and the succeeding five years if necessary, until exhausted. ",Highly discretionary,12 factors considered in application; used Inc Mon medians; total cap of $180M each program year,,The California Competes Tax Credit is an income tax credit available to businesses that want to locate in California or stay and grow in California. (Governor's Office of Business and Economic Development),4. Credit: Carryforward,Job tax credits,California_California Competes Tax Credit (“Cal Competes”)
California,New Employment Credit (NEC) (not integrated),No,$0,Not integrated because of hiring requirements,,Not integrated,- Why did I not integrate? ,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated,California_New Employment Credit (NEC) (not integrated)
California,California Research and Development Tax Credit,Yes,$0,"Top-line: 
- For first 5 years, Base Period Percentage is 3%. Afterwards, 3 years QRE average / (3 years gross receipts * apportionment rate)
- Then, multiply base period percentage * 4 year avg. gross receipts
- Then, calculate excess QRE over base amount
- Then multiply the excess QRE by 50%
- Last, take minimum of [excess QRE or QRE *50%] then multiply by 15%","* See page 8 of Pillsbury law document. https://www.pillsburylaw.com/images/content/0/9/092.pdf

* Check other R&D credits. Should I have done 6% rate like this or just 6% * R&D expenses like I did in template P&L?",Top-line: [R&D tax credit work],"- See note on ""line 2"" of second file for base calclulations. OK, general R&D years questions",,,Within year,The carryover must be applied to the earliest tax year possible and the unused credit may be carried over until it is exhausted,,Low,Criteria-driven,,"This credit is based on the federal research credit, with modifications. You may qualify for this credit if you engaged in qualified research activities in California. (CA Franchise Tax Board)",4. Credit: Carryforward,R&D tax credits,California_California Research and Development Tax Credit
California,Manufacturing and R&D Partial Sales and Use Tax Exemption,No,$0,"Top-line: If Yes, savings from top tax rate (8.66%) and reduced rate (3.313%) * M&E spending each year (one-time and ongoing)

Details: Manufacturing, R&D center. Max $200M in program funding each year (Pillsbury/COST presentation)","* Check if max allowable annual credit is $200M. I have it listed but not integrated

* Confirm minor detail… local sales tax still assessed",Top-line: [TAX EXEMPTION WORK],"- Integrate sales tax rates. Do I want to do county rates too throughout the model? 
- Revisit MME share of capex",,,within year,n/a - exemption,,Low,Critria-driven,,"A partial sales and use tax exemption allows certain manufacturers, researchers and developers to pay a lower sales or use tax rate on qualifying equipment purchases and leases. (CA Department of Tax and Fee Administration)",3. Exemption,Tax exemptions,California_Manufacturing and R&D Partial Sales and Use Tax Exemption
Colorado,Job Growth Incentive Tax Credit (JGITC),No,$0,"Top-line: If Yes, up to 50% benefit * FICA tax rate of 8% * average salary * FTEs

Requirements
- Min jobs of 20 or 5 (if Enhanced Rural EZ)
- Min county wages",,"Top-line: If Yes, FICA rate * 50% share * FTEs * Average salary",- Integrate county and Rural EZ categories,,* Be sure to incorporate restriction that EDC's strateagic fund nad JGITC can't be used for same jobs (page 51 of pdf),"8 years, annual tax credits",10 years,,Medium,Application but straightforward benefits,,The Job Growth Incentive Tax Credit (JGITC) provides a state income tax credit equal to 50% of the Federal Insurance Contributions Act (FICA) paid by the business on the net new job (NNJ) growth for each calendar year in the credit period. ,4. Credit: Carryforward,Job tax credits,Colorado_Job Growth Incentive Tax Credit (JGITC)
Colorado,Enterprise Zone Tax Credits,Yes,"$274,248","Top-line: If Yes, sum of multiple businesses
- Benefit 1 Investment Tax Credit: 3% bonus of business personal property * business personal property share of capex * capex
- Benefit 2: Job Training Tax Credit: 12% of qualifying training expenses * average training cost per employee of $1,481 from two studies (ADP and elearning) * FTEs
- Benefit 3: New Employee Credit, per job: standard award per FTE * FTE. 
- Benefit 4: New Employee Credit bonuses: Additional award per FTE include four lines (standard, agricultural processor, Enhanced Rural EZ, Enhanced Rural Agricultural Processor) * FTE
- Benefit 5: R&D tax credit. 3% credit on excess over prior two year average R&D spending

Notes: 
- Used socioeconomic data to determine EZ eligibility
- Assumed ""No"" for ag-related lines","* Details on EZ criteria. https://choosecolorado.com/doing-business/incentives-financing/ez/designation-eligibility/

* Replace median income data with per capita income

* Strip out extra blank pages in consolidated pdf","Top-line: If Yes, sum of multiple businesses
- Benefit 1 Investment Tax Credit: 3% bonus of business personal property * business personal property share of capex * capex
- Benefit 2: Job Training Tax Credit: 12% of qualifying training expenses * average training cost per employee of $1,481 from two studies (ADP and elearning) * FTEs
- Benefit 3: New Employee Credit, per job: standard award per FTE * FTE. 
- Benefit 4: New Employee Credit bonuses: Additional award per FTE include four lines (standard, agricultural processor, Enhanced Rural EZ, Enhanced Rural Agricultural Processor) * FTE
- Benefit 5: R&D tax credit","- Integrate counties and enhanced Ezs
- Update equipment share of capex
- Update R&D credits… start in year 3?",,"? Why does R&D credit start in year 3? 

- replace median income with per capita income by county","R&D credit starts in year 3, why?",,,Medium,"Apply, get pre-certified, then other steps",,"The Colorado Enterprise Zone (EZ) program is designed to promote a business-friendly environment in economically distressed areas by offering state income tax credits that incentivize businesses to locate and develop in, and non-profit organizations to assist with the needs of these communities.  (Choose Colorado)",4. Credit: Carryforward,Geographic credits,Colorado_Enterprise Zone Tax Credits
Colorado,Strategic Fund Incentive,Yes,$0,"Top-line: If Yes, award amount per FTE based on wages and EZ designation * FTEs for assumed 1 year (cash grant program)

Details. 
- Must meet min capex ($100K/FTE)
- Requires local match. Assumed Yes
- Other qualitative req's. Assumed Yes. 
- For EZ eligibility, used per capita income (<75% of state avg.) and unemployment data (25%>state avg.) for the county level. Did not use population growth. I assume EZ is series of census tracts though","* Confirm EZ is census tract not county level

* Replace median income/earnings data with per capita income at county level","Top-line: If Yes, award amount per FTE based on wages and EZ designation * FTEs for 1 year",- Integrate Ezs/counties,,* Work through red fonts. I think payout should happen in year 2. ,one year ,n/a grant,,,,,The Strategic Fund is a cash incentive program; businesses must create and maintain permanent net new jobs for one year before receiving an incentive. (CO Office of Economic Development and International Trade),1. Grant,Major projects grants,Colorado_Strategic Fund Incentive
Colorado,Colorado First and Existing Industry Customized Job Training Grant Programs,Yes,"$50,345","Top-line: Two separate but similar programs. If Yes, max net grant per worker of $1288 (includes 8% administrative fee) * FTE for 1 year

Details: Must meet minmium wage criteria. Company must contribute at least 40% of costs. ","* Program details. https://www.cccs.edu/wp-content/uploads/documents/FY2021-SA-CF_EI-Program-Pol_Proc-External-v-5-21-20.pdf

* Update with rural/urban definition",Top-line: Average max incentiver per job less 8% administrative fee * FTEs for 1 year,No action,,* need to define urban vs. rural,one year,n/a - grant,,Medium,Application process,,"The Colorado First (CF) customized training grant program focuses on businesses relocating or expanding in Colorado and in need of training workers with the skills necessary to increase their productivity, to increase wages, and to reduce their need for public support. (Skill Advance Colorado)",1. Grant,Job training grant or credit,Colorado_Colorado First and Existing Industry Customized Job Training Grant Programs
