State,Program,Eligible,10-year NPV,9/5 model math summary,9/5 internal notes,"Model math summary, late August",Late August internal notes and next steps,10/6/2020 next steps,10/12/2020 Notes,Benefit years,Carryforward years,Eligible taxes to abate,Discretionary level (H-M-L),Discretionary notes,Notes,Program description blurb for ppt,Incentives type,Incentives category,State-program
Idaho,Idaho Tax Reimbursement Incentive,No,$0,"Top-line: If Yes, benefit is up to 30% on state tax liability (corporate income, sales, payroll; average benefit is 21% from Trade and Industry Development magazine) * state tax liability for 15 years. ","* Source on withholding rate. https://onpay.com/payroll-calculator-tax-rates/idaho

? Where is source saying 21% average reimbursement?. - https://www.tradeandindustrydev.com/region/idaho/idaho-great-place-grow-15110. 
- https://blsstrategies.com/idaho",Top-line: 21% BENEFIT * [[Benefit (6.93% is withholding rate) * FTEs * average salary] + [state tax liability (CIT + Sales tax + UI tax)]]. THIS DOESN'T MAKE SENSE,"- Add in county wages and urban/rural
- Something about average reimbursement benefit",,,15 years,," You can receive a tax credit of up to 30% on income, payroll and sales taxes for up to 15 years.",Medium,Application process but benefit fairly defined,,"This new performance based economic development tool features a tax credit of up to 30% for up to 15 years on new state revenues (corporate, sales and withholding taxes paid to the state) that would be available to Idaho companies seeking expansion or new companies seeking relocation in the State of Idaho. (City of Nampa, ID)",5. Credit: Refundable,Job tax credits,Idaho_Idaho Tax Reimbursement Incentive
Idaho,Idaho Business Advantage,No,$0,"Top-line: If Yes, benefit is sum of 5 programs

Benefit 1. Investment tax credit. If Yes, 3.75% credit on just M&E. Ceiling is 62.5% of taxes or $750K, whichever is less. Incorporated proxy calcs for ceilings, spread payment over 14 years if sticker price exceeds one year max.

Benefit 2. Real property improvement tax credit. Annual cap of $125K/year. 2.5% benefit * buildings spend (one-time). Incorporated proxy calcs for ceilings, spread payment over 14 years if sticker price exceeds one year max.

Benefit 3. New Jobs Tax Credit. Benefit based on wage table * FTEs, assumed 1 year

Benefit 4. Sales and use tax rebate of 25% on purchases during construction (buildings, M&E, fixtures; one-time). 

Benefit 5. Small employer growth incentive. Local option to abate up to 100% property taxes. Assumed No for now. 

Requirements: 
- Min 10 jobs, min $40K salary, min $500K capex (CONFIRM TOTAL CAPEX OR QUALIFYING CAPEX)","* Comprehensive incentives manual. https://commerce.idaho.gov/content/uploads/2017/09/Business-Incentive-Manual-2018.pdf. 

- Tweaks to code. https://news.bloombergtax.com/daily-tax-report-state/idaho-governor-signs-law-amending-business-advantage-provisions-sunset-date

* Carryforwards are important",Not integrated,Not integrated. Limited information. Would be worth calling them,,* Strip out carryforward provisions iwthin model calculations,Most within one year,14 years,5 tax types,Low,Seems criteria-based program that one claims on tax forms,,"Businesses that invest a minimum of $500,000 in new facilities and create at least 10 new jobs paying $40,000 annually plus benefits may qualify for a variety of incentives. (Idaho Commerce)",4. Credit: Carryforward,Investment tax credits,Idaho_Idaho Business Advantage
Idaho,R&D Tax Credit,Yes,$0,"Top-line: If Yes, 5% of QREs in first five years, somewhat complicated math for Years 6 onwards

Details: 
- See description of the steps in the model

Steps corresponding to tax form
Step 0. Years 1-5, 3% benefit. See tax form page 2, part B >>>
Step 8 from page 1. QREs >>>
Step 9. Page 2, part b. Gross receipts just for Idaho, apportionment for just Idaho sales >>>
Step 9. Page 2, part b.  Percentage to apply to tax years >>>
Step 9. Page 2, part b. Fixed base percentage, max 16%. QRE line / Gross Receipts * Given %age >>>
Step 10. Page 2, part C. Previous 4 year average gross receipts >>>
Step 10. Apportionment >>>
11. Base amount >>>
12. Subtract base from QREs (Step 8 - Step 11) >>> 
13. Multiply QRE by 50% (Multiply Step 8 * 5%) >>>
14. Smaller of line 12 or 13 >>>
15. n/a (add basic research) >>> 
16. Credit earned >>>",* Actual form. https://tax.idaho.gov/forms/EFO00037_03-09-2016.pdf,Top-line: [R&D tax credit work],- Recheck language. Looks too simplistic,,* Double check model calcs,Within year,Businesses conducting basic and qualified research may earn an income tax credit of 5% that may be carried forward up to 14 years,,Low,Criteria-driven,,Businesses conducting basic and qualified research may earn an income tax credit of 5% that may be carried forward up to 14 years. (Idaho Commerce),4. Credit: Carryforward,R&D tax credits,Idaho_R&D Tax Credit
Idaho,Idaho Opportunity Fund (not integrated),Yes,$0,Not integrated,,Not integrated,Not integrated,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated,Idaho_Idaho Opportunity Fund (not integrated)
Idaho,Workforce Development Training Fund: Employer Grants,No,$0,"Top-line: Average benefit ($2,194 average for traditional job training grants, see four sources) * FTEs for 1 year assumed. This fits within max $3K per worker guidelines

Requirements
- Meets min wage levels, county wages, and requires benefits (assumed Yes)",,"Top-line: Average benefit ($2,194 average for traditional job training grants, see four sources) * FTEs for 1 year assumed",- Cadd in county wages,,,Assume 1 year grant ,n/a - reimbursement grant,,Medium,Seems straightforward application,,Reimbursement grant for eligible training-related expenses. (General description).,1. Grant,Job training grant or credit,Idaho_Workforce Development Training Fund: Employer Grants
Idaho,"$100,000 Personal Property Tax Exemption",Yes,"$9,592",Not applicable. Not integrated,,Not integrated,Not integrated,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,3. Exemption,Tax exemptions,"Idaho_$100,000 Personal Property Tax Exemption"
Idaho,Sales & use tax exemption,No,$0,"Top-line: If Yes, sales tax rate * M&E purchases (one-time and ongoing)

Details: 
- Sectors: Manufacturing and Research center. Data center exemption separate",,Top-line: [TAX EXEMPTION WORK],No action other than updating MME share,,,Within year,n/a - exemption,,Low,Criteria-driven,,"Businesses purchasing equipment and raw materials used directly in manufacturing, processing, mining, fabrication or logging operations; for clean rooms used in semiconductor and semiconductor equipment manufacturing; for any equipment or material used in research and development activities; and processing materials, substances or commodities for use as fuel for the production of energy may earn a sales tax exemption. (City of Nampa, ID)",3. Exemption,Tax exemptions,Idaho_Sales & use tax exemption
Idaho,Data Center sales tax exemption,No,$0,"Top-line: If Yes, sales tax rate * buildings and M&E purchases (one-time and ongoing)

Details: 
- Sector req; min 30 jobs; min capex $250M (confirm if qualified; used full capex figure); meet average county wage",,Top-line: [TAX EXEMPTION WORK],- Update county wages,,,Within year,n/a - exemption,,Low,Criteria-driven,,"Beginning July 1, 2020, new data centers choosing to locate in Idaho will be eligible for sales tax exemption on server equipment as well as construction materials used in the construction of the data center facility. (Idaho Commerce).",3. Exemption,Tax exemptions,Idaho_Data Center sales tax exemption
Idaho,Non-retail facilities property tax exemption,No,$0,"Top-line. Must manually turn on (type ""Yes"") since locally-driven. Model returns 100% property tax abatement.  ",,"Top-line: If Yes, 100% abatement of property taxes",- Check/finalize yes/no toggle,,** Revisit. Model calcs do not align with pdfs,Within year,n/a - exemption,,Low,Criteria-driven,,Businesses that invest in new non-retail facilities may receive partial or full property tax exemptions on new plant and building facilities and all personal property related thereto from local county commissioners. (Idaho Commerce).,3. Exemption,Tax exemptions,Idaho_Non-retail facilities property tax exemption
Idaho,Large Business Property Tax Cap,No,$0,"Top-line: If Yes, 100% property tax abatement on real/personal property (buildings, M&E, fixtures) over $400M. So, property tax rate * difference of eligible capex less $400M

Requirements: 
- Must be located in single Idaho county (assume Yes for ease)
- Must be eligible for federal investment tax (assume Yes)
- Min qualified capex of $1B",,"Top-line: If Yes, 0% (WHY?) abatement of property taxes",- Why is math to apply to total capex 0%?,,,Within year,n/a - exemption,,Low,Criteria-driven,,"Businesses that invest a minimum of $1 billion in capital improvements will receive a property tax exemption on all property in excess of $400 million in value per year. (City of Nampa, ID)",3. Exemption,Tax exemptions,Idaho_Large Business Property Tax Cap
