Unique ID,Incentive per job,Program.Name,Program,Deal date,Deal type,Freezone?,Domestic/FDI?,Region/state,CBSA,Capex,New jobs,Incentive (USD m),Incentive per job,Incentive type,Incentive objective(s),NAICS Industry,NAICS Sector,NAICS Sub-sector,Industry sector,Industry activities,fDi Markets Sector,fDI Markets Activity
18,4545.454545,Program.1,Commonwealth Opportunity Fund,Jan-20,New,No,Domestic,Virginia,"Blacksburg-Christiansburg-Radford, VA",12,33,0.15,4545,Grant/Subsidy,"Capital Investment, Employment/People",Transportation & warehousing,Support activities for transportation,Other support activities for transportat..,Services,Warehousing and Distribution,Transportation,"Logistics, Distribution & Transportation"
19,10714.28571,Program.1,Commonwealth Opportunity Fund,Jan-20,New,No,Domestic,Virginia,"Roanoke, VA",29.7,56,0.6,10714,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Agriculture, food, & related",Food manufacturing,Tea and Coffee Manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
20,20500,Program.1,Commonwealth Opportunity Fund,Jan-20,New,No,Domestic,Virginia,"Richmond, VA",75,60,1.23,20500,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Other food manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
21,4275,Program.1,Commonwealth Opportunity Fund,Dec-19,New,No,Domestic,Virginia,"Roanoke, VA",24.17,400,1.71,4275,"Tax, Grant/Subsidy","Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Motor vehicle & parts dealers,Automotive,"Research, Design & Development (RDD)",Automotive OEM,Maintenance & Servicing
22,6413.043478,Program.1,Commonwealth Opportunity Fund,Dec-19,New,No,Domestic,Virginia,"Danville, VA",42,92,0.59,6413,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Agriculture, food, & related","Agriculture, forestry, fishing & hunting",Crop production,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
23,3357.142857,Program.1,Commonwealth Opportunity Fund,Dec-19,New,No,Domestic,Virginia,"Richmond, VA",175,700,2.35,3357,Grant/Subsidy,"Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Food & beverage stores,Food & Drink,Warehousing and Distribution,Food & Tobacco,"Logistics, Distribution & Transportation"
24,4533.333333,Program.1,Commonwealth Opportunity Fund,Oct-19,Expansion,No,FDI,Virginia,"Richmond, VA",16.7,150,0.68,4533,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,Pharmaceutical preparations,Life Sciences,"Research, Design & Development (RDD)",Pharmaceuticals,Research & Development
25,11904.7619,Program.1,Commonwealth Opportunity Fund,Oct-19,New,No,FDI,Virginia,"Richmond, VA",65.3,63,0.75,11905,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Paper manufacturing,Converted paper product manufacturing,Consumer Goods,Manufacturing,"Paper, Printing & Packaging",Manufacturing
26,4237.288136,Program.1,Commonwealth Opportunity Fund,Sep-19,Expansion,No,FDI,Virginia,Not specified,10.75,59,0.25,4237,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Wood product manufacturing,Wood product manufacturing,Basic Materials,Manufacturing,Wood Products,Manufacturing
27,5970.149254,Program.1,Commonwealth Opportunity Fund,Sep-19,Expansion,No,FDI,Virginia,"Martinsville, VA",21,67,0.4,5970,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Wood product manufacturing,Wood product manufacturing,Basic Materials,Manufacturing,Wood Products,Manufacturing
