Unique ID,Incentive per job,Program.Name,Program,Deal date,Deal type,Freezone?,Domestic/FDI?,Region/state,CBSA,Capex,New jobs,Incentive (USD m),Incentive per job,Incentive type,Incentive objective(s),NAICS Industry,NAICS Sector,NAICS Sub-sector,Industry sector,Industry activities,fDi Markets Sector,fDI Markets Activity
1267,5838.709677,Program.6,Tennessee FastTrack Economic Development Grant,Mar-13,New,No,Domestic,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",0,310,1.81,5839,Grant/Subsidy,Employment/People,None,None,None,Food & Drink,Manufacturing,,
1268,2188.183807,Program.6,Tennessee FastTrack Economic Development Grant,Mar-13,Expansion,No,FDI,Tennessee,Not specified,53.7,914,2,2188,Grant/Subsidy,Employment/People,None,None,None,Automotive,Manufacturing,,
1269,2991.452991,Program.6,Tennessee FastTrack Economic Development Grant,Jan-13,New,No,Domestic,Tennessee,"Memphis, TN-MS-AR",23,468,1.4,2991,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Services,Warehousing and Distribution,,
1270,1824.817518,Program.6,Tennessee FastTrack Economic Development Grant,Jan-13,New,No,Domestic,Tennessee,"Kingsport-Bristol-Bristol, TN-VA",4.1,548,1,1825,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Information Technology & Telecom (ITT),Call Center,,
1271,6354.166667,Program.6,Tennessee FastTrack Economic Development Grant,Dec-12,Expansion,No,Domestic,Tennessee,"Lewisburg, TN",9.78,96,0.61,6354,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Electronics,Manufacturing,,
1272,2400,Program.6,Tennessee FastTrack Economic Development Grant,Dec-12,Expansion,No,Domestic,Tennessee,"Morristown, TN",15,200,0.48,2400,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Consumer Goods,Manufacturing,,
1273,11750,Program.6,Tennessee FastTrack Economic Development Grant,Oct-12,Expansion,No,Domestic,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",10,40,0.47,11750,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Leisure & Tourism,Headquarters (HQ),,
1274,9375,Program.6,Tennessee FastTrack Economic Development Grant,Sep-12,Expansion,No,Domestic,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",87.6,800,7.5,9375,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Services,Business Services,,
1275,7500,Program.6,Tennessee FastTrack Economic Development Grant,Jun-12,Expansion,No,FDI,Tennessee,Not specified,53.7,800,6,7500,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Automotive,Manufacturing,,
1276,8076.923077,Program.6,Tennessee FastTrack Economic Development Grant,May-12,Expansion,No,Domestic,Tennessee,Not specified,1.8,26,0.21,8077,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Basic Materials,Manufacturing,,
1277,4000,Program.6,Tennessee FastTrack Economic Development Grant,Feb-12,New,No,FDI,Tennessee,"Memphis, TN-MS-AR",1.8,25,0.1,4000,Grant/Subsidy,Employment/People,None,None,None,Life Sciences,"Research, Design & Development (RDD)",,
1278,5769.230769,Program.6,Tennessee FastTrack Economic Development Grant,Jan-12,Expansion,No,Domestic,Tennessee,"Brownsville, TN",3.76,26,0.15,5769,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Industrial Goods,Manufacturing,,
1279,4615.384615,Program.7,Arkansas Quick Action Closing Fund,Nov-19,Expansion,No,Domestic,Arkansas,"Hot Springs, AR",0,65,0.3,4615,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Aerospace product & parts manufacturing,Aircraft engine & other parts & auxiliar..,"Aerospace, Defence and Marine (ADM)",Manufacturing,Aerospace,Manufacturing
1280,5555.555556,Program.7,Arkansas Quick Action Closing Fund,Oct-19,New,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",20,90,0.5,5556,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Consumer Goods,Manufacturing,Plastics,Manufacturing
1281,4222.222222,Program.7,Arkansas Quick Action Closing Fund,Sep-19,New,No,Domestic,Arkansas,"Memphis, TN-MS-AR",40,450,1.9,4222,"Tax, Grant/Subsidy","Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Motor vehicle & parts dealers,Automotive,Warehousing and Distribution,Automotive OEM,"Logistics, Distribution & Transportation"
1282,11000,Program.7,Arkansas Quick Action Closing Fund,Aug-18,Expansion,No,Domestic,Arkansas,"Camden, AR",50,140,1.54,11000,"Grant/Subsidy, Unspecified","Capital Investment, Employment/People",Transportation equipment manufacturing,Aerospace product & parts manufacturing,Guided missile & space vehicle manufactu..,"Aerospace, Defence and Marine (ADM)",Manufacturing,Space & Defence,Manufacturing
1283,3250,Program.7,Arkansas Quick Action Closing Fund,Aug-17,New,No,FDI,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,200,0.65,3250,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),Metals,Headquarters
1284,8333.333333,Program.7,Arkansas Quick Action Closing Fund,Sep-16,New,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",2,60,0.5,8333,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,"Aerospace, Defence and Marine (ADM)","Research, Design & Development (RDD)",,
1285,9090.909091,Program.7,Arkansas Quick Action Closing Fund,Mar-16,New,No,Domestic,Arkansas,"Jonesboro, AR",12.5,110,1,9091,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Industrial Goods,Manufacturing,,
1286,29761.90476,Program.7,Arkansas Quick Action Closing Fund,Jan-16,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,84,2.5,29762,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,"Aerospace, Defence and Marine (ADM)",Manufacturing,,
1287,16000,Program.7,Arkansas Quick Action Closing Fund,Jan-16,New,No,FDI,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,50,0.8,16000,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,"Aerospace, Defence and Marine (ADM)",Manufacturing,,
1288,3125,Program.7,Arkansas Quick Action Closing Fund,Jul-15,New,No,Domestic,Arkansas,"Fort Smith, AR-OK",0,64,0.2,3125,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Consumer Goods,Headquarters (HQ),,
1289,2941.176471,Program.7,Arkansas Quick Action Closing Fund,Jun-15,Expansion,No,Domestic,Arkansas,"Camden, AR",18,85,0.25,2941,Grant/Subsidy,Capital Investment,None,None,None,"Aerospace, Defence and Marine (ADM)",Manufacturing,,
1290,750,Program.7,Arkansas Quick Action Closing Fund,Jan-15,New,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0.12,40,0.03,750,Grant/Subsidy,Capital Investment,None,None,None,Information Technology & Telecom (ITT),Business Services,,
1291,833.3333333,Program.7,Arkansas Quick Action Closing Fund,Jan-15,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",2.08,60,0.05,833,Grant/Subsidy,Capital Investment,None,None,None,Information Technology & Telecom (ITT),Business Services,,
1292,30675.67568,Program.7,Arkansas Quick Action Closing Fund,May-14,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",60,74,2.27,30676,Grant/Subsidy,Employment/People,None,None,None,Food & Drink,Headquarters (HQ),,
1293,30000,Program.7,Arkansas Quick Action Closing Fund,Oct-13,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,35,1.05,30000,Grant/Subsidy,"Capital Investment, Employment/People",None,None,None,Information Technology & Telecom (ITT),Business Services,,
1294,56666.66667,Program.7,Arkansas Quick Action Closing Fund,Oct-13,New,No,Domestic,Arkansas,"Fayetteville-Springdale-Rogers, AR-MO",8.7,150,8.5,56667,"Tax, Grant/Subsidy","Capital Investment, Unspecified",None,None,None,Food & Drink,Manufacturing,,
1295,283809.5238,Program.7,Arkansas Quick Action Closing Fund,Feb-13,New,No,Domestic,Arkansas,"Blytheville, AR",1100,525,149,283810,"Tax, Grant/Subsidy, Loan/Credit","Capital Investment, Employment/People",None,None,None,Basic Materials,Manufacturing,,
1296,35000,Program.7,Arkansas Quick Action Closing Fund,Jan-13,New,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,50,1.75,35000,Grant/Subsidy,Capital Investment,None,None,None,Information Technology & Telecom (ITT),Headquarters (HQ),,
1297,1428.571429,Program.7,Arkansas Quick Action Closing Fund,Oct-12,New,No,Domestic,Arkansas,"Fayetteville-Springdale-Rogers, AR-MO",10,350,0.5,1429,"Tax, Grant/Subsidy","Capital Investment, Employment/People",None,None,None,Consumer Goods,Manufacturing,,
1298,1983.471074,Program.7,Arkansas Quick Action Closing Fund,Jul-12,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,121,0.24,1983,"Tax, Grant/Subsidy","Capital Investment, Employment/People",None,None,None,Information Technology & Telecom (ITT),Headquarters (HQ),,
1299,26190.47619,Program.7,Arkansas Quick Action Closing Fund,Jul-10,Expansion,No,Domestic,Arkansas,"Little Rock-North Little Rock-Conway, AR",0,210,5.5,26190,Grant/Subsidy,Capital Investment,None,None,None,Information Technology & Telecom (ITT),Headquarters (HQ),,
1300,42682.92683,Program.8,Ohio R&D Center Grant,Jun-20,Expansion,No,FDI,Ohio,"Akron, OH",3.35,41,1.75,42683,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Life Sciences,Headquarters (HQ),Medical Devices,Headquarters
1301,75000,Program.8,Ohio R&D Center Grant,Dec-19,Expansion,No,Domestic,Ohio,"Toledo, OH",4,20,1.5,75000,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,"Electrical equipment, appliance, and com..",Other electrical equipment & component m..,Electronics,Manufacturing,Electronic Components,Manufacturing
1302,75000,Program.8,Ohio R&D Center Grant,Dec-18,Expansion,No,Domestic,Ohio,"Akron, OH",4,100,7.5,75000,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Aerospace product & parts manufacturing,Aircraft engine & other parts & auxiliar..,"Aerospace, Defence and Marine (ADM)",Manufacturing,Aerospace,Manufacturing
1303,150000,Program.8,Ohio R&D Center Grant,Nov-18,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",4.05,8,1.2,150000,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,"Electrical equipment, appliance, and com..",Electrical equipment manufacturing,Electronics,Manufacturing,Electronic Components,Manufacturing
1304,26857.14286,Program.8,Ohio R&D Center Grant,Nov-18,Expansion,No,FDI,Ohio,"Columbus, OH",3.76,175,4.7,26857,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle manufacturing,Automobile manufacturing,Automotive,"Research, Design & Development (RDD)",Automotive OEM,"Design, Development & Testing"
1305,85714.28571,Program.8,Ohio R&D Center Grant,Oct-18,Expansion,No,Domestic,Ohio,"Akron, OH",9,35,3,85714,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Other motor vehicle parts manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
1306,166666.6667,Program.8,Ohio R&D Center Grant,Sep-18,Expansion,No,FDI,Ohio,"Mansfield, OH",6.64,12,2,166667,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Basic Materials,Manufacturing,Plastics,Manufacturing
1307,38666.66667,Program.8,Ohio R&D Center Grant,Sep-18,Expansion,No,Domestic,Ohio,"Columbus, OH",0,75,2.9,38667,Grant/Subsidy,"Capital Investment, Employment/People",Finance & insurance,Finance & insurance,Credit intermediation & related activities,Services,Business Services,Financial Services,Business Services
1308,75000,Program.8,Ohio R&D Center Grant,Jul-18,Expansion,No,Domestic,Ohio,Not specified,20.2,40,3,75000,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Other motor vehicle parts manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
1309,75000,Program.8,Ohio R&D Center Grant,Jun-18,Expansion,No,FDI,Ohio,"Columbus, OH",2.47,20,1.5,75000,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Motor vehicle electrical & electronic eq..,Automotive,Manufacturing,Automotive Components,Manufacturing
1310,125000,Program.8,Ohio R&D Center Grant,May-18,Expansion,No,Domestic,Ohio,"Columbus, OH",4.39,8,1,125000,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,"Paint, coating & adhesive manufacturing",Basic Materials,"Research, Design & Development (RDD)",Chemicals,Research & Development
1311,80000,Program.8,Ohio R&D Center Grant,Apr-18,Expansion,No,Domestic,Ohio,"Columbus, OH",3.6,25,2,80000,Grant/Subsidy,Capital Investment,Information,Other information services,All other information services,Information Technology & Telecom (ITT),Business Services,Software & IT services,Business Services
1312,28169.01408,Program.8,Ohio R&D Center Grant,Jan-18,Expansion,No,Domestic,Ohio,"Akron, OH",28.8,71,2,28169,Grant/Subsidy,"Capital Investment, Employment/People",Miscellaneous manufacturing,Medical equipment & supplies manufacturing,Medical equipment & supplies manufacturing,Life Sciences,Manufacturing,Medical Devices,Manufacturing
1313,51546.39175,Program.8,Ohio R&D Center Grant,Nov-17,New,No,Domestic,Ohio,"Greenville, OH",40,97,5,51546,Grant/Subsidy,"Capital Investment, Employment/People",Miscellaneous manufacturing,Medical equipment & supplies manufacturing,Medical equipment & supplies manufacturing,Life Sciences,"Research, Design & Development (RDD)",Medical Devices,Research & Development
1314,70000,Program.8,Ohio R&D Center Grant,Aug-17,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",1.7,30,2.1,70000,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,"Electrical equipment, appliance, and com..",Other electrical equipment & component m..,Electronics,Manufacturing,Electronic Components,Manufacturing
1315,1666.666667,Program.9,Ohio Economic Development Grant,Jul-20,Expansion,No,Domestic,Ohio,Not specified,0.24,24,0.04,1667,Grant/Subsidy,"Capital Investment, Employment/People",Transportation & warehousing,Support activities for transportation,Other support activities for transportat..,Services,Warehousing and Distribution,Transportation,"Logistics, Distribution & Transportation"
1316,7254.901961,Program.9,Ohio Economic Development Grant,Jul-20,New,No,FDI,Ohio,"Lima, OH",35,51,0.37,7255,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Consumer Goods,Manufacturing,Plastics,Manufacturing
1317,941.1764706,Program.9,Ohio Economic Development Grant,Jul-20,Expansion,No,Domestic,Ohio,Not specified,0.61,85,0.08,941,Grant/Subsidy,"Capital Investment, Employment/People",Transportation & warehousing,Warehousing & storage,Warehousing & storage,Consumer Goods,Warehousing and Distribution,Warehousing & Storage,"Logistics, Distribution & Transportation"
1318,450,Program.9,Ohio Economic Development Grant,Jun-20,New,No,Domestic,Ohio,"Cincinnati, OH-KY-IN",24.17,400,0.18,450,Grant/Subsidy,"Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Motor vehicle & parts dealers,Automotive,Manufacturing,Automotive OEM,Manufacturing
1319,7843.137255,Program.9,Ohio Economic Development Grant,Jun-20,New,No,Domestic,Ohio,Not specified,3,51,0.4,7843,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,Computer & electronic product manufacturing,Semiconductor & other electronic compone..,Renewable Energy,Manufacturing,Semiconductors,Manufacturing
1320,4285.714286,Program.9,Ohio Economic Development Grant,Jun-20,Expansion,No,Domestic,Ohio,"Akron, OH",12.5,70,0.3,4286,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..","Management, scientific, and technical co..",Environmental consulting services,Services,Business Services,Business Services,Business Services
1321,1111.111111,Program.9,Ohio Economic Development Grant,Jun-20,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",0.69,45,0.05,1111,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Other food manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
1322,5333.333333,Program.9,Ohio Economic Development Grant,Jun-20,Expansion,No,Domestic,Ohio,Not specified,1.67,15,0.08,5333,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Machinery equipment,"Agriculture, construction, & mining mach..",Industrial Goods,Manufacturing,"Industrial Machinery, Equipment & Tools",Manufacturing
1323,13333.33333,Program.9,Ohio Economic Development Grant,Jun-20,Expansion,No,FDI,Ohio,"Sidney, OH",0.82,6,0.08,13333,Grant/Subsidy,"Capital Investment, Employment/People",Miscellaneous manufacturing,Other miscellaneous manufacturing,All other mischellaneous manufacturing,Basic Materials,Manufacturing,Chemicals,Manufacturing
1324,25000,Program.9,Ohio Economic Development Grant,Jun-20,Expansion,No,Domestic,Ohio,Not specified,0.08,2,0.05,25000,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Dairy product manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
1325,22187.5,Program.9,Ohio Economic Development Grant,Jun-20,New,No,Domestic,Ohio,"Cincinnati, OH-KY-IN",56.13,64,1.42,22188,"Tax, Grant/Subsidy","Capital Investment, Employment/People","Wood, paper, printing, furniture",Paper manufacturing,Converted paper product manufacturing,Consumer Goods,Manufacturing,"Paper, Printing & Packaging",Manufacturing
1326,11428.57143,Program.9,Ohio Economic Development Grant,Jun-20,New,No,FDI,Ohio,"Akron, OH",4.3,35,0.4,11429,"Tax, Grant/Subsidy","Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,"Machine shops, turned products, screw, n..",Industrial Goods,Manufacturing,Metals,Manufacturing
1327,5333.333333,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,"Akron, OH",3.73,15,0.08,5333,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,Other fabricated metal product manufactu..,Industrial Goods,Manufacturing,Metals,Manufacturing
1328,4000,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,"Youngstown-Warren-Boardman, OH-PA",0.71,20,0.08,4000,Grant/Subsidy,"Capital Investment, Employment/People","Textiles, apparel, leather & related",Leather & allied product manufacturing,Other leather & allied product manufactu..,Consumer Goods,Manufacturing,Textiles,Manufacturing
1329,6666.666667,Program.9,Ohio Economic Development Grant,May-20,New,No,FDI,Ohio,"Toledo, OH",10.9,75,0.5,6667,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Motor vehicle electrical & electronic eq..,Automotive,Manufacturing,Automotive Components,Manufacturing
1330,3571.428571,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,FDI,Ohio,"Dayton, OH",15,70,0.25,3571,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Other motor vehicle parts manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
1331,2500,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",0.2,28,0.07,2500,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..",Computer systems design and related serv..,Custom computer programming services,Information Technology & Telecom (ITT),Business Services,Software & IT services,Business Services
1332,10000,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,"Cincinnati, OH-KY-IN",0.25,5,0.05,10000,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,In-Vitro diagnostic substances,Life Sciences,"Research, Design & Development (RDD)",Biotechnology,Research & Development
1333,3809.52381,Program.9,Ohio Economic Development Grant,May-20,New,No,Domestic,Ohio,Not specified,6.22,21,0.08,3810,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Wood product manufacturing,Wood product manufacturing,Basic Materials,Manufacturing,Wood Products,Manufacturing
1334,12500,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",0.13,4,0.05,12500,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,"Soap, cleaning compound, & toilet prepar..",Consumer Goods,Manufacturing,Chemicals,Manufacturing
1335,5000,Program.9,Ohio Economic Development Grant,May-20,New,No,Domestic,Ohio,"Akron, OH",4.4,60,0.3,5000,Grant/Subsidy,"Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Wholesale trade,Food & Drink,Warehousing and Distribution,Food & Tobacco,"Logistics, Distribution & Transportation"
1336,5333.333333,Program.9,Ohio Economic Development Grant,May-20,Expansion,No,Domestic,Ohio,Not specified,17,75,0.4,5333,Grant/Subsidy,"Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Miscellaneous store retailers,Consumer Goods,Warehousing and Distribution,Consumer Products,"Logistics, Distribution & Transportation"
1337,8227.848101,Program.9,Ohio Economic Development Grant,Apr-20,New,No,FDI,Ohio,"Akron, OH",8.83,79,0.65,8228,"Tax, Grant/Subsidy","Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Motor vehicle seating & interior trim ma..,Automotive,Manufacturing,Automotive Components,Manufacturing
1338,4909.090909,Program.9,Ohio Economic Development Grant,Apr-20,Expansion,No,Domestic,Ohio,Not specified,18.5,55,0.27,4909,"Tax, Grant/Subsidy","Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,General merchandise stores,Consumer Goods,Warehousing and Distribution,Consumer Products,"Logistics, Distribution & Transportation"
1339,5333.333333,Program.9,Ohio Economic Development Grant,Apr-20,Expansion,No,Domestic,Ohio,Not specified,16.88,75,0.4,5333,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Administration & support services,Business support services,Services,Business Services,Business Services,Business Services
1340,9677.419355,Program.9,Ohio Economic Development Grant,Apr-20,Expansion,No,Domestic,Ohio,"Fremont, OH",2.8,31,0.3,9677,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Rubber product manufacturing,Other rubber product manufacturing,Basic Materials,Manufacturing,Rubber,Manufacturing
1341,2439.02439,Program.9,Ohio Economic Development Grant,Apr-20,Expansion,No,Domestic,Ohio,"Salem, OH",9.78,41,0.1,2439,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,Other fabricated metal product manufactu..,Industrial Goods,Manufacturing,Metals,Manufacturing
1342,2142.857143,Program.9,Ohio Economic Development Grant,Apr-20,New,No,Domestic,Ohio,"Akron, OH",0.22,14,0.03,2143,Grant/Subsidy,"Capital Investment, Employment/People","Retail & wholesale trade, real estate, r..",Retail & wholesale trade,Wholesale trade,Industrial Goods,Warehousing and Distribution,"Industrial Machinery, Equipment & Tools","Logistics, Distribution & Transportation"
1343,3928.571429,Program.9,Ohio Economic Development Grant,Apr-20,Expansion,No,Domestic,Ohio,"Cleveland-Elyria, OH",0.37,56,0.22,3929,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Dairy product manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
1344,44444.44444,Program.9,Ohio Economic Development Grant,Mar-20,New,No,Domestic,Ohio,"Cincinnati, OH-KY-IN",3.7,9,0.4,44444,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,Other fabricated metal product manufactu..,Industrial Goods,Manufacturing,Metals,Manufacturing
1345,,Program.9,Ohio Economic Development Grant,Mar-20,Retention,No,Domestic,Ohio,"Akron, OH",0,0,7.5,n/a,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..",Computer systems design and related serv..,Custom computer programming services,Information Technology & Telecom (ITT),Business Services,Software & IT services,Business Services
1346,11382.11382,Program.9,Ohio Economic Development Grant,Mar-20,Expansion,No,Domestic,Ohio,"Canton-Massillon, OH",25.5,123,1.4,11382,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Dairy product manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
1347,343750,Program.9,Ohio Economic Development Grant,Mar-20,New,No,Domestic,Ohio,Not specified,598.8,400,137.5,343750,"Tax, Grant/Subsidy","Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Basic Materials,Headquarters (HQ),Chemicals,Headquarters
1348,16666.66667,Program.9,Ohio Economic Development Grant,Feb-20,Expansion,No,Domestic,Ohio,"Portsmouth, OH",1.2,12,0.2,16667,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,Basic chemical manufacturing,Basic Materials,Manufacturing,Chemicals,Manufacturing
1349,2000,Program.9,Ohio Economic Development Grant,Feb-20,Expansion,No,Domestic,Ohio,"Youngstown-Warren-Boardman, OH-PA",6.75,15,0.03,2000,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Fabricated metal product manufacturing,Forging & stamping,Industrial Goods,Manufacturing,Metals,Manufacturing
1350,6250,Program.9,Ohio Economic Development Grant,Feb-20,Expansion,No,Domestic,Ohio,"Columbus, OH",1.23,8,0.05,6250,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..","Advertising, PR, & related","Advertising, PR, & related",Creative Industries,Business Services,Business Services,Business Services
1351,6666.666667,Program.9,Ohio Economic Development Grant,Feb-20,New,No,FDI,Ohio,"Cincinnati, OH-KY-IN",55,30,0.2,6667,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),Communications,Headquarters
1352,23166.66667,Program.9,Ohio Economic Development Grant,Feb-20,Expansion,No,Domestic,Ohio,"Tiffin, OH",38.3,60,1.39,23167,Grant/Subsidy,"Capital In.., Employment.., Unspecified",Miscellaneous manufacturing,Other miscellaneous manufacturing,All other mischellaneous manufacturing,Consumer Goods,Manufacturing,Consumer Products,Manufacturing
1353,6250,Program.9,Ohio Economic Development Grant,Jan-20,Expansion,No,Domestic,Ohio,Not specified,3.25,40,0.25,6250,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,Pharmaceutical preparations,Life Sciences,Manufacturing,Pharmaceuticals,Manufacturing
1354,6500,Program.9,Ohio Economic Development Grant,Jan-20,Expansion,No,Domestic,Ohio,"Akron, OH",4.62,20,0.13,6500,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,Computer & electronic product manufacturing,"Navigational, measuring, electromedical,..",Electronics,Manufacturing,Communications,Manufacturing
1355,83333.33333,Program.9,Ohio Economic Development Grant,Jan-20,Expansion,No,Domestic,Ohio,"Akron, OH",21.2,12,1,83333,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Other food manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
1356,5000,Program.9,Ohio Economic Development Grant,Dec-19,Expansion,No,Domestic,Ohio,"Columbus, OH",0.5,10,0.05,5000,Grant/Subsidy,"Capital Investment, Employment/People",Computers & electronics,Computer & electronic product manufacturing,"Navigational, measuring, electromedical,..",Electronics,Manufacturing,Communications,Manufacturing
