Type,RuralOrCity,State,City,Tax Rate 100k,Tax Rate 1M,Tax Rate 25M
Commercial,Rural,South Carolina,Mullins,2.90%,2.90%,2.90%
Commercial,Rural,South Dakota,Vermillion,1.77%,1.77%,1.77%
Commercial,Rural,Tennessee,Savannah,1.06%,1.06%,1.06%
Commercial,Rural,Texas,Fort Stockton,2.00%,2.00%,2.00%
Commercial,Rural,Utah,Richfield,1.26%,1.26%,1.26%
Commercial,Rural,Vermont,Hartford,2.15%,2.15%,2.15%
Commercial,Rural,Virginia,Wise,0.88%,0.88%,0.88%
Commercial,Rural,Washington,Okanogan,1.15%,1.15%,1.15%
Commercial,Rural,West Virginia,Elkins,1.04%,1.04%,1.04%
Commercial,Rural,Wisconsin,Rice Lake,2.25%,2.30%,2.31%
Commercial,Rural,Wyoming,Worland,0.73%,0.73%,0.73%
Industrial,City,Alabama,Birmingham,1.18%,1.18%,1.18%
Industrial,City,Alaska,Anchorage,1.38%,1.53%,1.55%
Industrial,City,Arizona,Phoenix,1.25%,1.90%,2.16%
Industrial,City,Arkansas,Little Rock,1.40%,1.40%,1.40%
Industrial,City,California,Los Angeles,0.94%,0.94%,0.94%
Industrial,City,Colorado,Denver,1.78%,1.78%,1.78%
Industrial,City,Connecticut,Bridgeport,1.79%,1.79%,1.79%
Industrial,City,DC,Washington,0.76%,1.39%,1.84%
Industrial,City,Delaware,Wilmington,0.64%,0.64%,0.64%
Industrial,City,Florida,Jacksonville,1.12%,1.31%,1.33%
Industrial,City,Georgia,Atlanta,1.40%,1.40%,1.40%
Industrial,City,Hawaii,Honolulu,0.60%,0.60%,0.60%
Industrial,City,Idaho,Boise,0.65%,0.99%,1.06%
Industrial,City,Illinois,Aurora*,1.81%,1.81%,1.81%
Industrial,City,Illinois,Chicago,1.98%,1.98%,1.98%
Industrial,City,Indiana,Indianapolis,2.37%,2.37%,2.37%
Industrial,City,Iowa,Des Moines,1.36%,1.80%,1.95%
Industrial,City,Kansas,Wichita,1.39%,1.39%,1.39%
Industrial,City,Kentucky,Louisville,0.77%,0.77%,0.77%
Industrial,City,Louisiana,New Orleans,2.19%,2.19%,2.19%
Industrial,City,Maine,Portland,1.10%,1.10%,1.10%
Industrial,City,Maryland,Baltimore,1.40%,1.40%,1.40%
Industrial,City,Massachusetts,Boston,1.06%,1.06%,1.06%
Industrial,City,Michigan,Detroit,1.91%,2.22%,2.22%
Industrial,City,Minnesota,Minneapolis,1.05%,1.67%,1.76%
Industrial,City,Mississippi,Jackson,2.75%,2.75%,2.75%
Industrial,City,Missouri,Kansas City,2.24%,2.24%,2.24%
Industrial,City,Montana,Billings,0.59%,0.84%,1.19%
Industrial,City,Nebraska,Omaha,1.58%,1.68%,1.70%
Industrial,City,Nevada,Las Vegas,0.90%,0.90%,0.90%
Industrial,City,New Hampshire,Manchester,1.02%,1.02%,1.02%
Industrial,City,New Jersey,Newark,1.51%,1.51%,1.51%
Industrial,City,New Mexico,Albuquerque,1.18%,1.18%,1.18%
Industrial,City,New York,Buffalo*,1.31%,1.31%,1.31%
Industrial,City,New York,New York City,0.58%,0.58%,0.58%
Industrial,City,North Carolina,Charlotte,0.77%,0.77%,0.77%
Industrial,City,North Dakota,Dakota,0.65%,0.65%,0.65%
Industrial,City,Ohio,Columbus,1.17%,1.17%,1.17%
Industrial,City,Oklahoma,Oklahoma City,1.47%,1.47%,1.47%
Industrial,City,Oregon,Portland,1.97%,1.97%,1.97%
Industrial,City,Pennsylvania,Philadelphia,0.69%,1.18%,1.28%
Industrial,City,Rhode Island,Providence,1.89%,1.89%,1.89%
Industrial,City,South Carolina,Charleston,2.39%,2.39%,2.39%
Industrial,City,South Dakota,Sioux Falls,0.74%,0.74%,0.74%
Industrial,City,Tennessee,Nashville,1.01%,1.01%,1.01%
Industrial,City,Texas,Houston,2.29%,2.29%,2.29%
Industrial,City,Utah,Salt Lake City,1.02%,1.02%,1.02%
Industrial,City,Vermont,Burlington,1.73%,1.73%,1.73%
Industrial,City,Virginia,Virginia Beach,0.51%,0.51%,0.51%
Industrial,City,Washington,Seattle,0.62%,0.62%,0.62%
Industrial,City,West Virginia,Charleston,1.85%,1.85%,1.85%
Industrial,City,Wisconsin,Milwaukee,1.39%,1.42%,1.42%
Industrial,City,Wyoming,Cheyenne,0.66%,0.66%,0.66%
Industrial,Rural,Alabama,Monroeville,0.71%,0.71%,0.71%
Industrial,Rural,Alaska,Ketchikan,0.75%,0.89%,0.90%
Industrial,Rural,Arizona,Safford,0.80%,1.27%,1.45%
Industrial,Rural,Arkansas,Pocahontas,0.82%,0.82%,0.82%
Industrial,Rural,California,Yreka,0.85%,0.85%,0.85%
Industrial,Rural,Colorado,Walsenburg,1.84%,1.84%,1.84%
Industrial,Rural,Connecticut,Litchfield,1.19%,1.19%,1.19%
Industrial,Rural,Delaware,Georgetown,0.29%,0.29%,0.29%
Industrial,Rural,Florida,Moore Haven,1.47%,1.72%,1.75%
Industrial,Rural,Georgia,Fitzgerald,1.51%,1.51%,1.51%
Industrial,Rural,Hawaii,Kauai,0.38%,0.38%,0.38%
Industrial,Rural,Idaho,Saint Anthony,0.67%,1.05%,1.12%
Industrial,Rural,Illinois,Galena,1.28%,1.28%,1.28%
Industrial,Rural,Indiana,North Vernon,2.34%,2.34%,2.34%
Industrial,Rural,Iowa,Hampton,0.85%,1.28%,1.43%
Industrial,Rural,Kansas,Iola,2.81%,2.81%,2.81%
Industrial,Rural,Kentucky,Morehead,0.77%,0.77%,0.77%
Industrial,Rural,Louisiana,Natchitoches,1.43%,1.43%,1.43%
Industrial,Rural,Maine,Rockland,1.27%,1.27%,1.27%
