State,Rates,Brackets,Difference b/w salary and bracket,Tax burden within bracket,Deduction,Exemption,Dependent
Montana,2.00%,"$3,100","$2,300",$46,,,
Montana,3.00%,"$5,400","$2,800",$84,,,
Montana,4.00%,"$8,200","$2,900",$116,,,
Montana,5.00%,"$11,100","$3,200",$160,,,
Montana,6.00%,"$14,300","$4,100",$246,,,
Montana,6.90%,"$18,400","$36,600","$2,525",,,
Nebraska,2.46%,$0,"$3,230",$79,"$6,900",$137,$137
Nebraska,3.51%,"$3,230","$16,100",$565,,,
Nebraska,5.01%,"$19,330","$11,830",$593,,,
Nebraska,6.84%,"$31,160","$23,840","$1,631",,,
Nevada,0,,"$55,000",$0,,,
New Hampshire,5.00%,$0,"$55,000","$2,750",,"$2,400",
New Jersey,1.400%,$0,"$20,000",$280,,"$1,000","$1,500"
New Jersey,1.750%,"$20,000","$15,000",$263,,,
New Jersey,3.500%,"$35,000","$5,000",$175,,,
New Jersey,5.525%,"$40,000","$15,000",$829,,,
New Jersey,6.370%,"$75,000",$0,$0,,,
New Jersey,8.970%,"$500,000",$0,$0,,,
New Jersey,10.750%,"$5,000,000",$0,$0,,,
New Mexico,1.70%,$0,"$5,500",$94,"$12,400",,
New Mexico,3.20%,"$5,500","$5,500",$176,,,
New Mexico,4.70%,"$11,000","$5,000",$235,,,
New Mexico,4.90%,"$16,000","$39,000","$1,911",,,
New York,4.00%,$0,"$8,500",$340,"$8,000",,"$1,000"
New York,4.50%,"$8,500","$3,200",$144,,,
New York,5.25%,"$11,700","$2,200",$116,,,
New York,5.90%,"$13,900","$7,500",$443,,,
New York,6.21%,"$21,400","$33,600","$2,087",,,
New York,6.49%,"$80,650",$0,$0,,,
New York,6.85%,"$215,400",$0,$0,,,
New York,8.82%,"$1,077,550",$0,$0,,,
North Carolina,5.25%,$0,"$55,000","$2,888","$10,750",,
North Dakota,1.10%,$0,"$39,450",$434,"$12,400",,
North Dakota,2.04%,"$39,450","$15,550",$317,,,
North Dakota,2.27%,"$95,500",$0,$0,,,
North Dakota,2.64%,"$199,250",$0,$0,,,
North Dakota,2.90%,"$433,200",$0,$0,,,
Ohio,2.850%,"$21,750","$21,700",$618,,"$2,350","$2,350"
Ohio,3.326%,"$43,450","$11,550",$384,,,
Ohio,3.802%,"$86,900",$0,$0,,,
Ohio,4.413%,"$108,700",$0,$0,,,
Ohio,4.797%,"$217,400",$0,$0,,,
Oklahoma,0.50%,$0,"$1,000",$5,"$6,350","$1,000","$1,000"
Oklahoma,1.00%,"$1,000","$1,500",$15,,,
Oklahoma,2.00%,"$2,500","$1,250",$25,,,
Oklahoma,3.00%,"$3,750","$1,150",$35,,,
Oklahoma,4.00%,"$4,900","$2,300",$92,,,
Oklahoma,5.00%,"$7,200","$47,800","$2,390",,,
Oregon,5.00%,$0,"$3,550",$178,"$2,270",$206,$206
Oregon,7.00%,"$3,550","$5,350",$375,,,
Oregon,9.00%,"$8,900","$46,100","$4,149",,,
Oregon,9.90%,"$125,000",$0,$0,,,
Pennsylvania,3.07%,$0,"$55,000","$1,689",,,
Rhode Island,3.75%,$0,"$55,000","$2,063","$8,900","$4,150","$4,150"
Rhode Island,4.75%,"$65,250",$0,$0,,,
Rhode Island,5.99%,"$148,350",$0,$0,,,
South Carolina,0.00%,$0,"$3,070",$0,"$12,400",,"$4,190"
South Carolina,3.00%,"$3,070","$3,080",$92,,,
South Carolina,4.00%,"$6,150","$3,080",$123,,,
South Carolina,5.00%,"$9,230","$3,080",$154,,,
South Carolina,6.00%,"$12,310","$3,090",$185,,,
South Carolina,7.00%,"$15,400","$39,600","$2,772",,,
South Dakota,0,,"$55,000",$0,,,
Tennessee,1.00%,$0,"$55,000",$550,,"$1,250",
Texas,0,,"$55,000",$0,,,
Utah,4.95%,$0,"$55,000","$2,723",$744 ,,$579
Vermont,3.35%,$0,"$39,600","$1,327","$6,150","$4,250","$4,250"
Vermont,6.60%,"$39,600","$15,400","$1,016",,,
Vermont,7.60%,"$96,000",$0,$0,,,
Vermont,8.75%,"$200,200",$0,$0,,,
Virginia,2.00%,$0,"$3,000",$60,"$4,500",$930,$930
Virginia,3.00%,"$3,000","$2,000",$60,,,
Virginia,5.00%,"$5,000","$12,000",$600,,,
Virginia,5.75%,"$17,000","$38,000","$2,185",,,
Washington,0,,"$55,000",$0,,,
West Virginia,3.00%,$0,"$10,000",$300,,"$2,000","$2,000"
West Virginia,4.00%,"$10,000","$15,000",$600,,,
West Virginia,4.50%,"$25,000","$15,000",$675,,,
West Virginia,6.00%,"$40,000","$15,000",$900,,,
West Virginia,6.50%,"$60,000",$0,$0,,,
Wisconsin,4.00%,$0,"$11,970",$479,"$11,050",$700,$700
Wisconsin,5.21%,"$11,970","$11,960",$623,,,
Wisconsin,6.27%,"$23,930","$31,070","$1,948",,,
Wisconsin,7.65%,"$263,480",$0,$0,,,
Wyoming,0,,"$55,000",$0,,,
D.C.,4.00%,$0,"$10,000",$400,"$12,400",,
D.C.,6.00%,"$10,000","$30,000","$1,800",,,
D.C.,6.50%,"$40,000","$15,000",$975,,,
D.C.,8.50%,"$60,000",$0,$0,,,
D.C.,8.75%,"$350,000",$0,$0,,,
D.C.,8.95%,"$1,000,000",$0,$0,,,
