,FIPS,county,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048
0,1001,"Autauga,AL",5809.311897394,5769.9333302227,5745.7490676832,5703.1894651463,5662.1059081942,5603.199431462501,5556.8405903008,5501.983694843,5454.616871540999,5411.991181334501,5375.506740703399,5329.4439423934,5293.3303020334,5256.5945826373,5222.3986450600005,5176.754903652,5136.657660237,5085.769145554999,5032.139441568,4974.08965238,4919.769493188,4866.406485993,4814.895373826001,4754.9864423730005,4726.187185093,4680.703051579,4625.7484813149995,4577.7024865759995,4524.385008223,4480.498038943,4437.034097952001
1,1003,"Baldwin,AL",19488.780305018,19567.291694482003,19613.793529977997,19665.803702215,19701.488463267,19702.359485306995,19710.774249479997,19720.784888373,19703.114561982,19700.419886779,19682.675429104,19648.800183242,19587.022105491,19546.618568733003,19501.146055015,19461.024897257,19417.752436658,19352.29990463,19265.973180603,19161.985913685,19052.062393337,18928.185886961997,18791.423923492,18666.17843454,18573.888211179998,18481.52061732,18389.711482730003,18301.59451473,18233.99806539,18166.63780339,18105.87436036
2,1005,"Barbour,AL",1917.8189155907,1896.8214689617,1875.2248571685998,1848.8450777739001,1824.0139144866998,1796.8357830879,1774.2675690119002,1754.5739296619,1732.5884563947,1711.4345843211,1684.5582101164998,1662.1629395789998,1636.9360752551,1608.6276844292997,1594.8996052892,1567.9704003878,1551.7039857210002,1525.9041443926,1499.8566723248,1475.1269074243,1449.3454010625,1429.5433127237,1408.2985294275,1383.4202854316,1362.0528839804,1336.0073056728,1315.9337485043002,1293.0937412002002,1270.6835133198,1249.6432273939,1230.3842241127002
3,1007,"Bibb,AL",1299.6428586099998,1292.9478208286998,1282.6704417348,1264.8598144741,1253.8178371487998,1244.7695975816,1234.0147833238,1221.0551585675998,1209.0845467856,1201.3696358704,1194.1676708681998,1184.9641383872,1165.9989209944001,1153.7758490452002,1139.713194986,1126.1939518883,1109.5555604865,1093.8918182604,1078.4392575777001,1059.4379973524,1048.121993411,1028.5363080854,1013.3748670942,998.1171706343999,983.1029506419,970.8916509465,952.7858544420999,937.4234311106,921.4231943674,911.1169078359,892.7715634008
4,1009,"Blount,AL",3855.675579682,3808.4228328135996,3757.5414251241,3703.6988056921996,3640.693387127,3595.974063139,3540.9039593579996,3490.9868659430003,3442.899036189,3392.6879264628997,3349.5509570805,3297.2568579960002,3249.26124455,3207.925535553,3154.7706054309997,3117.4931355979998,3067.360633656,3020.0518469689996,2974.3699846629997,2932.714273028,2891.607701463,2840.680911991,2793.6678468300006,2756.5691251380003,2711.3524442949997,2674.812223273,2634.454491172,2597.575086365,2562.291168959,2524.097788033,2493.600439159
5,1011,"Bullock,AL",445.8214861254,436.8553753005,429.2468466953,419.3391609195,409.66867879930004,400.5758864522,389.4121914202,380.6165170169,372.30197885769996,364.1386519315,357.0235842971,350.4533385093,342.5194436426,335.4198092276,325.82787643679995,315.8865191849,306.65868217849993,298.2735131661,289.7732602745,283.2528217035,276.58276083640004,268.4551314301,261.83589565750003,255.28382706210002,249.0100913917,243.1897235806,237.2199237829,231.25767385809996,225.64410030509998,218.76135991509997,211.9359195158
6,1013,"Butler,AL",1489.8656623680001,1466.6071113832002,1439.5459169862,1412.4003802709,1388.9987684315,1364.5924588949001,1334.9790065641,1309.402219522,1287.0559612719003,1253.2494688923,1226.488114659,1196.571338149,1164.9534071673,1136.5189729422,1107.2855547623,1077.5164695196,1047.4049791076,1020.1402231643,994.4379292862,964.4909629732999,942.0060507589001,919.6427679443001,892.7649958170001,872.9619678629,848.7048549674,828.5897440027,807.8497250026,789.8239538355,774.6659676066,759.7119055573,743.4352150996999
7,1015,"Calhoun,AL",10406.611934988001,10195.580950656,10000.198062418,9768.332631080999,9548.114353171,9337.79267237,9149.554144758002,8967.601959990001,8787.195431336999,8601.445327679,8438.650762018,8269.212726092,8109.87999953,7949.990478842001,7792.025147186,7634.035253228,7481.538948196001,7336.873445910999,7191.672070635,7040.050425719,6899.793149329999,6762.931023589999,6634.502729729999,6502.82844175,6373.397970540001,6256.57373713,6142.3288523500005,6033.47739847,5922.7636134,5815.13731684,5714.4086145599995
8,1017,"Chambers,AL",2477.5429684989003,2422.0421373975,2371.4541809413995,2290.6941877808995,2217.8802311817003,2154.7763508841,2098.3896791289,2050.0480476092,2004.389208956,1953.6423136068001,1905.3044006935002,1858.4944516236,1813.4592149803,1769.3957334228999,1725.9839535874,1681.9955649718,1633.5788102452,1589.2617415158002,1540.198631803,1499.0128920277,1460.6514283518002,1420.7925754111002,1380.5909093106002,1346.4954607394,1307.9285918864998,1273.9780558866,1241.7022645762,1208.4943891001,1180.2641109181,1150.7671072019,1125.6616962422
9,1019,"Cherokee,AL",2017.9246098272,2001.0519017339,1981.9662328034,1954.8136165847,1921.9640068783,1899.1195527614,1872.5323505615002,1842.7147105712,1813.4647551872,1795.528851372,1774.8582376040001,1753.1403187262,1732.3055012703999,1714.5966650124,1680.5912987181,1660.4055387592,1629.7348507532,1605.9424932603001,1580.9695198998002,1548.623557153,1529.2975489699998,1500.585258848,1470.188810315,1438.842811146,1408.729578495,1383.8642632,1352.187103682,1324.4389180419998,1297.240030986,1269.1267039809998,1245.10733773
